sequence	cg	chg	gene	classification
cpc54_1.1	0.8254119602953148	0.00988942344998934	cpc54_1	gbM
cpc54_1.2	0.7975956215147403	0.009800833864643053	cpc54_1	gbM
cpc54_10.1	0.01273748449955443	0.007042849723177215	cpc54_10	UM
cpc54_100.1	0.6754904929577464	0.01566852936050704	cpc54_100	gbM
cpc54_1000.1	0.6961883318408785	0.008049988570808946	cpc54_1000	gbM
cpc54_10000.1	0.14005920754951115	0.04754153046120645	cpc54_10000	ambiguous
cpc54_10000.2	0.13537581609556662	0.04672481756057207	cpc54_10000	ambiguous
cpc54_10001.1	0.8278241619324058	0.0074575535214681165	cpc54_10001	gbM
cpc54_10002.1	0.8139392091299632	0.8223452664369232	cpc54_10002	teM
cpc54_10003.1	0.8280117945156374	0.7081920603350599	cpc54_10003	teM
cpc54_10003.2	0.8528420810984683	0.7453800269627279	cpc54_10003	teM
cpc54_10004.1	0.6676931961815701	0.5782920264627986	cpc54_10004	teM
cpc54_10004.2	0.719631823255234	0.5888832581469934	cpc54_10004	teM
cpc54_10005.1	0.9367648522781327	0.829831522872154	cpc54_10005	teM
cpc54_10006.1	0.18479275672038623	0.01461907002749522	cpc54_10006	ambiguous
cpc54_10006.2	0.16839424232131406	0.01396784602308285	cpc54_10006	ambiguous
cpc54_10007.1	0.44537290344102715	0.004668404351767905	cpc54_10007	gbM
cpc54_10008.1	0.5291844367588933	0	cpc54_10008	gbM
cpc54_10009.1	0.1463475	0.001482978723	cpc54_10009	ambiguous
cpc54_1001.1	0.5980195341170298	0.004972040281110561	cpc54_1001	gbM
cpc54_10010.1	0.2600394737	0.023296875	cpc54_10010	gbM
cpc54_10011.1	0.02232386364	0.001264835165	cpc54_10011	UM
cpc54_10012.1	0	0.0035259259260000003	cpc54_10012	UM
cpc54_10013.1	0.013034130605639913	0.0036019064497613876	cpc54_10013	UM
cpc54_10014.1	0.9173625	0.8185142856999998	cpc54_10014	teM
cpc54_10015.1	0.014496318076702819	0.005785643856893709	cpc54_10015	UM
cpc54_10016.1	0.005557725818456099	0.00983948377597584	cpc54_10016	UM
cpc54_10017.1	0.30694635043860025	0.0028735692440917428	cpc54_10017	gbM
cpc54_10018.1	0.6492892720365518	0.011021767560967816	cpc54_10018	gbM
cpc54_10019.1	0	0.00584375	cpc54_10019	UM
cpc54_1002.1	0.02276666667	0.003125	cpc54_1002	UM
cpc54_10020.1	0.7285271449869687	0.004534582397085587	cpc54_10020	gbM
cpc54_10021.1	0.9706079687499999	0.83641787109375	cpc54_10021	teM
cpc54_10021.2	0.97165	0.8340375	cpc54_10021	teM
cpc54_10022.1	0.22716463023027028	0.005244612758544379	cpc54_10022	gbM
cpc54_10023.1	0.02808055556	0.002121568627	cpc54_10023	UM
cpc54_10024.1	0.2693882353	0.003954545455	cpc54_10024	gbM
cpc54_10025.1	0.2599367925	0.004021768707	cpc54_10025	gbM
cpc54_10026.1	0.9055466492146597	0.8727862606569633	cpc54_10026	teM
cpc54_10027.1	0.40516324297024375	0.007541320870874606	cpc54_10027	gbM
cpc54_10028.1	0.009266666667	0	cpc54_10028	UM
cpc54_10029.1	0.94386	0.840085	cpc54_10029	teM
cpc54_1003.1	0.401355147864184	0.008079014238674699	cpc54_1003	gbM
cpc54_10030.1	0.143956	0.003935955056	cpc54_10030	ambiguous
cpc54_10030.2	0.143956	0.0038494505490000003	cpc54_10030	ambiguous
cpc54_10031.1	0.6325802435861261	0.0105797983067206	cpc54_10031	gbM
