gene_id	colors
cpc54_1	tan
cpc54_10	lightcyan1
cpc54_100	grey
cpc54_1000	bisque4
cpc54_10000	brown
cpc54_10001	darkgrey
cpc54_10006	lightyellow
cpc54_10007	grey
cpc54_10008	tan
cpc54_10009	blue
cpc54_1001	turquoise
cpc54_10010	cyan
cpc54_10011	blue
cpc54_10013	skyblue3
cpc54_10015	grey60
cpc54_10017	blue
cpc54_10018	lightcyan
cpc54_10019	grey
cpc54_1002	lightyellow
cpc54_10020	grey
cpc54_10022	lightgreen
cpc54_10023	blue
cpc54_10024	red
cpc54_10025	lightyellow
cpc54_10027	grey
cpc54_10028	grey
cpc54_1003	yellow
cpc54_10031	purple
cpc54_10032	pink
cpc54_10033	red
cpc54_10034	brown
cpc54_10035	blue
cpc54_10036	pink
cpc54_10037	brown
cpc54_10038	grey
cpc54_10039	grey
cpc54_1004	blue
cpc54_10040	salmon
cpc54_10041	darkred
cpc54_10042	blue
cpc54_10043	red
cpc54_10044	green
cpc54_10045	black
cpc54_10046	red
cpc54_10047	blue
cpc54_10048	grey
cpc54_10049	black
cpc54_1005	purple
cpc54_10050	turquoise
cpc54_10053	pink
cpc54_10054	brown
cpc54_10055	black
cpc54_10056	turquoise
cpc54_10057	steelblue
cpc54_10058	turquoise
cpc54_1006	purple
cpc54_10060	yellow
cpc54_10061	tan
cpc54_10063	turquoise
cpc54_10064	midnightblue
cpc54_10065	pink
cpc54_10066	turquoise
cpc54_10067	turquoise
cpc54_10068	blue
cpc54_1007	darkorange2
cpc54_10076	grey
cpc54_10077	midnightblue
cpc54_10078	turquoise
cpc54_10079	salmon
cpc54_1008	royalblue
cpc54_10080	lightcyan
cpc54_10082	green
cpc54_10083	green
cpc54_10084	green
cpc54_10085	purple
cpc54_10086	darkolivegreen
cpc54_10087	black
cpc54_10088	grey
cpc54_10089	tan
cpc54_1009	green
cpc54_10090	darkorange
cpc54_10091	yellow
cpc54_10092	grey
cpc54_10093	pink
cpc54_10094	darkmagenta
cpc54_10095	grey
cpc54_10098	turquoise
cpc54_10099	cyan
cpc54_101	greenyellow
cpc54_1010	grey60
cpc54_10100	tan
cpc54_10101	lightcyan
cpc54_10102	pink
cpc54_10103	white
cpc54_10104	turquoise
cpc54_10105	royalblue
cpc54_10106	red
cpc54_10107	blue
cpc54_10109	turquoise
cpc54_1011	magenta
cpc54_10111	green
cpc54_10112	darkgreen
cpc54_10113	yellow
cpc54_10114	cyan
cpc54_10115	midnightblue
cpc54_10116	magenta
cpc54_10118	grey
cpc54_10119	turquoise
cpc54_1012	steelblue
cpc54_10120	turquoise
cpc54_10121	salmon
cpc54_10122	red
cpc54_10123	steelblue
cpc54_10124	yellow
cpc54_10125	yellow
cpc54_10127	green
cpc54_10128	lightcyan
cpc54_10129	green
cpc54_1013	green
cpc54_10130	turquoise
cpc54_10131	skyblue
cpc54_10132	turquoise
cpc54_10133	grey
cpc54_10134	blue
cpc54_10137	grey
cpc54_10138	yellow
cpc54_10139	green
cpc54_1014	magenta
cpc54_10140	turquoise
cpc54_10146	lightcyan
cpc54_10147	yellow
cpc54_10148	lightyellow
cpc54_10149	blue
cpc54_1015	pink
cpc54_10150	magenta
cpc54_10151	lightcyan
cpc54_10152	red
cpc54_10153	floralwhite
cpc54_10154	darkgreen
cpc54_10155	tan
cpc54_10156	blue
cpc54_10157	tan
cpc54_10158	turquoise
cpc54_10159	greenyellow
cpc54_1016	plum2
cpc54_10160	turquoise
cpc54_10161	blue
cpc54_10162	blue
cpc54_10163	turquoise
cpc54_10164	tan
cpc54_10165	lightsteelblue1
cpc54_10166	lightsteelblue1
cpc54_1017	grey
cpc54_10170	turquoise
cpc54_10171	green
cpc54_10172	darkred
cpc54_10173	purple
cpc54_10174	ivory
cpc54_10175	darkorange
cpc54_10176	salmon
cpc54_10177	pink
cpc54_10178	black
cpc54_10179	green
cpc54_1018	magenta
cpc54_10180	red
cpc54_10181	turquoise
cpc54_10182	blue
cpc54_10183	lightsteelblue1
cpc54_10184	midnightblue
cpc54_10185	grey
cpc54_10186	grey
cpc54_10187	orange
cpc54_10188	turquoise
cpc54_10189	yellow
cpc54_1019	grey
cpc54_10190	magenta
cpc54_10191	cyan
cpc54_10192	greenyellow
cpc54_10193	green
cpc54_10194	turquoise
cpc54_10195	grey
cpc54_10196	black
cpc54_10197	grey
cpc54_10198	red
cpc54_10199	salmon
cpc54_102	mediumpurple3
cpc54_1020	brown
cpc54_10200	lightgreen
cpc54_10201	turquoise
cpc54_10202	ivory
cpc54_10203	tan
cpc54_10204	green
cpc54_10207	cyan
cpc54_10209	mediumpurple3
cpc54_1021	pink
cpc54_10210	turquoise
cpc54_10212	pink
cpc54_10213	brown
cpc54_10214	pink
cpc54_10215	red
cpc54_10216	grey
cpc54_10217	yellow
cpc54_10219	green
cpc54_10220	grey60
cpc54_10221	grey
cpc54_10222	turquoise
cpc54_10223	lightcyan
cpc54_10224	red
cpc54_10225	red
cpc54_10226	grey
cpc54_10227	turquoise
cpc54_10228	yellow
cpc54_10229	red
cpc54_1023	green
cpc54_10230	turquoise
cpc54_10231	black
cpc54_10232	grey
cpc54_10234	royalblue
cpc54_10235	turquoise
cpc54_10236	blue
cpc54_10237	grey
cpc54_10238	yellow
cpc54_10239	darkorange
cpc54_1024	grey
cpc54_10240	turquoise
cpc54_10241	salmon
cpc54_10242	lightcyan
cpc54_10243	lightyellow
cpc54_10244	brown
cpc54_10245	black
cpc54_10247	black
cpc54_10249	midnightblue
cpc54_1025	turquoise
cpc54_10251	yellow
cpc54_10253	white
cpc54_10254	lightyellow
cpc54_10255	darkred
cpc54_10256	blue
cpc54_10258	darkorange
cpc54_10259	pink
cpc54_1026	purple
cpc54_10260	turquoise
cpc54_10261	blue
cpc54_10265	darkmagenta
cpc54_10266	lightgreen
cpc54_10267	darkred
cpc54_10268	yellow
cpc54_10269	grey
cpc54_1027	turquoise
cpc54_10270	grey
cpc54_10276	blue
cpc54_10277	purple
cpc54_10278	midnightblue
cpc54_10279	green
cpc54_1028	grey
cpc54_10280	turquoise
cpc54_10281	grey
cpc54_10282	blue
cpc54_10283	lightyellow
cpc54_10284	green
cpc54_10285	tan
cpc54_10286	yellow
cpc54_10287	turquoise
cpc54_10288	green
cpc54_10289	darkred
cpc54_1029	pink
cpc54_10290	red
cpc54_10291	sienna3
cpc54_10292	red
cpc54_10293	blue
cpc54_10294	grey
cpc54_10295	turquoise
cpc54_10296	yellow
cpc54_10297	skyblue
cpc54_10298	red
cpc54_10299	lightgreen
cpc54_103	grey
cpc54_1030	turquoise
cpc54_10300	lightcyan1
cpc54_10301	green
cpc54_10302	turquoise
cpc54_10303	cyan
cpc54_10308	brown
cpc54_10309	turquoise
cpc54_1031	grey
cpc54_10314	black
cpc54_10315	midnightblue
cpc54_10317	brown
cpc54_10318	brown
cpc54_10319	turquoise
cpc54_1032	turquoise
cpc54_10320	grey
cpc54_10321	royalblue
cpc54_10323	grey
cpc54_10324	grey
cpc54_10326	turquoise
cpc54_10327	brown
cpc54_10328	skyblue3
cpc54_1033	yellow
cpc54_10330	brown
cpc54_10331	mediumpurple3
cpc54_10332	blue
cpc54_10333	turquoise
cpc54_10335	brown
cpc54_10336	grey
cpc54_10337	turquoise
cpc54_10338	grey
cpc54_1034	blue
cpc54_10340	greenyellow
cpc54_10341	turquoise
cpc54_10344	bisque4
cpc54_10346	turquoise
cpc54_10347	turquoise
cpc54_10348	turquoise
cpc54_10350	magenta
cpc54_10351	cyan
cpc54_10352	pink
cpc54_10353	steelblue
cpc54_10354	blue
cpc54_10355	brown
cpc54_10356	green
cpc54_10357	lightcyan
cpc54_10359	turquoise
