condition	rep	sample
Infection_0	1	INFECTION_0_REP1
Infection_0	2	INFECTION_0_REP2
Infection_0	3	INFECTION_0_REP3
Infection_24	1	INFECTION_24_REP1
Infection_24	2	INFECTION_24_REP2
Infection_24	3	INFECTION_24_REP3
Leaf	1	LEAF_REP1
Leaf	2	LEAF_REP2
Leaf	3	LEAF_REP3
Root	1	ROOT_REP1
Root	2	ROOT_REP2
Root	3	ROOT_REP3
Shoot	1	SHOOT_REP1
Shoot	2	SHOOT_REP2
Shoot	3	SHOOT_REP3
Temperature_25C	1	TEMPERATURE_25_REP1
Temperature_25C	2	TEMPERATURE_25_REP2
Temperature_25C	3	TEMPERATURE_25_REP3
Temperature_35C	1	TEMPERATURE_35_REP1
Temperature_35C	2	TEMPERATURE_35_REP2
Temperature_35C	3	TEMPERATURE_35_REP3
Temperature_4C	1	TEMPERATURE_4_REP1
Temperature_4C	2	TEMPERATURE_4_REP2
Temperature_4C	3	TEMPERATURE_4_REP3
